generated,health,grade,fails,warns
2026-08-04T13:49+03:00,0.596,D,source coverage|signal quality,ledger hygiene|rate-index integrity
2026-08-05T08:33+03:00,0.717,C,source coverage,signal quality|ledger hygiene|rate-index integrity
2026-08-05T14:28+03:00,0.717,C,source coverage,signal quality|ledger hygiene|rate-index integrity
2026-08-06T13:55+03:00,0.717,C,source coverage,signal quality|ledger hygiene|rate-index integrity
2026-08-06T14:34+03:00,0.717,C,source coverage,signal quality|ledger hygiene|rate-index integrity
2026-08-07T09:54+03:00,0.667,C,source coverage,edition cadence|signal quality|ledger hygiene|rate-index integrity
2026-08-08T08:23+03:00,0.533,D,source coverage|published content,edition cadence|signal quality|ledger hygiene|rate-index integrity
2026-08-08T08:38+03:00,0.533,D,source coverage|published content,edition cadence|signal quality|ledger hygiene|rate-index integrity
2026-08-09T09:58+03:00,0.567,D,source coverage,radar feed freshness|edition cadence|signal quality|ledger hygiene|data freshness|rate-index integrity
2026-08-10T08:37+03:00,0.567,D,source coverage,radar feed freshness|edition cadence|signal quality|ledger hygiene|data freshness|rate-index integrity
2026-08-11T08:37+03:00,0.517,D,source coverage|ledger hygiene,radar feed freshness|edition cadence|signal quality|data freshness|rate-index integrity
2026-08-12T08:33+03:00,0.567,D,source coverage|source staleness|ledger hygiene,signal quality|data freshness|rate-index integrity
2026-08-13T09:17+03:00,0.5,D,source coverage|source staleness|signal quality,edition cadence|ledger hygiene|data freshness|rate-index integrity
2026-08-13T11:03+03:00,0.5,D,source coverage|source staleness|signal quality,edition cadence|ledger hygiene|data freshness|rate-index integrity
2026-08-15T07:14+03:00,0.467,D,source coverage|source staleness|edition cadence|ledger hygiene,signal quality|data freshness|rate-index integrity
2026-08-15T08:39+03:00,0.5,D,source coverage|source staleness|edition cadence|ledger hygiene,signal quality|rate-index integrity
2026-08-16T07:22+03:00,0.5,D,source coverage|source staleness|edition cadence|ledger hygiene,signal quality|rate-index integrity
