observed_date,group,metric,value_num,unit,raw_value,period,source
2026-08-09,Currency,KES → RWF,11.31,,11.31,week avg to 2 Jul 2026,Central Bank of Kenya weekly bulletin
2026-08-09,Currency,KES → TZS,20.3,,20.30,week avg to 2 Jul 2026,Central Bank of Kenya weekly bulletin
2026-08-09,Currency,KES → UGX,28.36,,28.36,week avg to 2 Jul 2026,Central Bank of Kenya weekly bulletin
2026-08-09,Currency,KES → USD,129.3,,129.30,2 Jul 2026,Central Bank of Kenya weekly bulletin
2026-08-09,Currency,Kenya FX reserves,14047.0,USD 7m (6.0 months import cover),"USD 14,047m (6.0 months import cover)",2 Jul 2026,Central Bank of Kenya weekly bulletin
2026-08-09,Fuel — Kenya,Diesel (Nairobi),222.86,KSh /L,KSh 222.86/L,15 Jul – 14 Aug 2026,EPRA July 2026 review
2026-08-09,Fuel — Kenya,Kerosene (Nairobi),191.38,KSh /L,KSh 191.38/L,15 Jul – 14 Aug 2026,EPRA July 2026 review
2026-08-09,Fuel — Kenya,Murban crude (benchmark),67.99,USD /bbl,USD 67.99/bbl,week ending 2 Jul 2026,"CBK Weekly Bulletin, 3 Jul 2026"
2026-08-09,Fuel — Kenya,Super petrol (Nairobi),214.03,KSh /L,KSh 214.03/L,15 Jul – 14 Aug 2026,EPRA July 2026 review
2026-08-09,Inflation,Kenya CPI (annual),6.4,%,6.4%,June 2026,KNBS / CBK
2026-08-09,Inflation,Rwanda urban inflation (annual),13.6,%,13.6%,June 2026,NISR Rwanda
2026-08-09,Inflation,Tanzania inflation (annual),4.0,%,4.0%,June 2026,NBS Tanzania
2026-08-09,Inflation,Uganda inflation (annual),3.7,%,3.7%,June 2026,UBOS
2026-08-09,Utilities,Kenya electricity pass-through charges,5.0,over KSh /kWh,over KSh 5.00/kWh,July 2026 billing,"EPRA monthly tariff adjustment, July 2026"
