observed_at,market,property,place_id,rating,review_count
2026-08-02T12:26:17.997097+00:00,nairobi,Sarova Stanley,ChIJgal_ZdYQLxgRQJpbfya5kqg,4.6,9443
2026-08-02T12:26:17.997097+00:00,nairobi,Villa Rosa Kempinski,ChIJ_7vK_jkXLxgRLiftXQ6xcTw,4.7,10878
2026-08-02T12:26:17.997097+00:00,nairobi,Radisson Blu Upper Hill,ChIJvcUXGOUQLxgRY_pBd74Jlzo,4.8,12621
2026-08-02T12:26:17.997097+00:00,nairobi,Trademark Hotel Gigiri,ChIJ96wSJVk9LxgRZKZ6gN4iY-w,4.6,4151
2026-08-02T12:26:17.997097+00:00,nairobi,Sankara Westlands,ChIJJfWg3moXLxgRh3b_srxQfVg,4.6,4754
2026-08-02T12:26:17.997097+00:00,nairobi,Hemingways Nairobi,ChIJMVs55sEbLxgR96cxc6YzEgM,4.7,3218
2026-08-02T12:26:17.997097+00:00,nairobi,Ole Sereni,ChIJoWPRzH0TLxgRA9BNgcrspZQ,4.5,8685
2026-08-02T12:26:17.997097+00:00,nairobi,Tribe Hotel,ChIJOwbI-cIXLxgR3mTL7bKpy_8,4.6,3139
2026-08-02T12:26:17.997097+00:00,coast,Serena Beach Resort & Spa,ChIJQ-77uGAPQBgRXR0NJHjRGZc,4.6,3676
2026-08-02T12:26:17.997097+00:00,coast,Diani Reef Beach Resort,ChIJJ_7_UB5GQBgRBjFxDV0y62o,4.3,2700
2026-08-02T12:26:17.997097+00:00,coast,Leopard Beach Resort,ChIJ4SqvkSJGQBgRmJGXjImlLEo,4.4,1071
2026-08-02T12:26:17.997097+00:00,coast,Baobab Beach Resort,ChIJnaWRMQJPQBgRryskPsvKsiY,4.6,6308
2026-08-02T12:26:17.997097+00:00,coast,Swahili Beach,ChIJlTS5haBIQBgRTH2fzpOoC5E,4.4,3616
2026-08-02T12:26:17.997097+00:00,coast,Voyager Beach Resort,ChIJu1cmXUYSQBgRvwZPsZfb3Jk,4.5,5974
2026-08-02T12:26:17.997097+00:00,coast,Almanara Diani,ChIJ7SImqa9OQBgRhYo3jM_1W2I,4.7,159
2026-08-02T12:26:17.997097+00:00,zanzibar,Zuri Zanzibar,ChIJsZVgLKMfQxgRrS_tIAVAr7k,4.6,1109
2026-08-02T12:26:17.997097+00:00,zanzibar,Melia Zanzibar,ChIJFbeNsI7WQhgRiULdJ9KPTPg,4.7,1890
2026-08-02T12:26:17.997097+00:00,zanzibar,Park Hyatt Zanzibar,ChIJOVSESlvQXBgRCyKS6oCoryw,4.6,1661
2026-08-02T12:26:17.997097+00:00,zanzibar,Riu Palace Zanzibar,ChIJ7cZDJmIfQxgRANDSNbGKuAc,4.5,2483
2026-08-02T12:26:17.997097+00:00,zanzibar,Baraza Resort & Spa,ChIJG-Q7Zaw7XRgR-U_jqmbKYDo,4.7,343
2026-08-02T12:26:17.997097+00:00,zanzibar,The Residence Zanzibar,ChIJ9elo9DQFXRgRHI_dRD6vddE,4.5,860
2026-08-02T12:26:17.997097+00:00,zanzibar,Diamonds Star of the East,ChIJ57uVi7ofQxgR0FDTZ1707vw,4.7,417
2026-08-02T12:26:17.997097+00:00,zanzibar,Hideaway of Nungwi,ChIJ362BNaUfQxgRfmgxN87A6LE,4.6,571
2026-08-02T12:26:17.997097+00:00,kigali,Kigali Marriott,ChIJpbGXQSmk3BkRxqKzh2jEoK8,4.6,3166
2026-08-02T12:26:17.997097+00:00,kigali,Radisson Blu Kigali,ChIJB1UOY_Sm3BkR5Mndz635oHU,4.8,4162
2026-08-02T12:26:17.997097+00:00,kigali,Kigali Serena,ChIJlSlBpCuk3BkRLaeBVn47eus,4.6,1957
2026-08-02T12:26:17.997097+00:00,kigali,Ubumwe Grande,ChIJQ6w1oSak3BkRUfEWLOzxiUI,4.4,1582
2026-08-02T12:26:17.997097+00:00,kigali,Park Inn by Radisson Kigali,ChIJo3unPYOm3BkR6qdNgiw-cAs,4.6,1958
2026-08-02T12:26:17.997097+00:00,kampala,Kampala Serena,ChIJWUg1QIG7fRcR85gaRErEk4U,4.6,6120
2026-08-02T12:26:17.997097+00:00,kampala,Sheraton Kampala,ChIJb58cF4C7fRcRUCd55ROG-jI,4.5,7006
2026-08-02T12:26:17.997097+00:00,kampala,Speke Resort Munyonyo,ChIJJ2J-8AqWfRcRoldfSLvBfpw,4.5,6927
2026-08-02T12:26:17.997097+00:00,kampala,Protea by Marriott Kampala,ChIJ6xKNK9GGfRcRhG5XR13hAvc,4.3,3292
2026-08-02T12:26:17.997097+00:00,kampala,Latitude 0 Degrees,ChIJh4Khq169fRcRWkZOpqWyxQk,4.5,1727
2026-08-02T12:26:17.997097+00:00,safari,Governors' Camp,ChIJT_FWbBtRLBgRjAh409erVEY,4.8,380
2026-08-02T12:26:17.997097+00:00,safari,Mara Serena Safari Lodge,ChIJOVVVVeECLBgR69RjcgY9qng,4.6,1535
2026-08-02T12:26:17.997097+00:00,safari,Angama Mara,ChIJdd2hFWXtLBgRV23UxRk2sWo,4.7,336
2026-08-02T12:26:17.997097+00:00,safari,Kichwa Tembo,ChIJD_aYq7upLRgRLYn7PYQuki8,4.7,580
2026-08-02T12:26:17.997097+00:00,safari,Four Seasons Safari Lodge Serengeti,ChIJLXhzwEWUMhgRVCI2uhMkkp8,4.7,734
2026-08-02T12:26:17.997097+00:00,safari,Serengeti Serena Safari Lodge,ChIJr1w7f1XcMhgR8_kYtISZU9I,4.6,779
2026-08-02T12:26:17.997097+00:00,safari,Mara Intrepids,ChIJZ1LXRCADLBgRyv1CduSD1WE,4.6,419
